candidate_id,rank,score,reasoning
CAND_0037980,1,0.7775414801674683,"A candidate with experience in senior ai roles and ml engineering across healthtech ai, conversational ai, and software."
CAND_0007411,2,0.7747662582525091,"A candidate with experience in advanced ml and ai, suitable for a senior machine learning engineer role."
CAND_0094759,3,0.7598941853326681,"A candidate with experience in ai and nlp, suitable for a senior role in a tech-driven environment."
CAND_0080766,4,0.7506457542073481,"A candidate with a 1.0-month duration in staff machine learning engineer and 3.6-months in lead ai engineer, along with experience in food delivery and conversational ai, and a strong background in computer engineering, is ideal for a senior ai engineer role."
CAND_0006567,5,0.750593226492437,A candidate with advanced skills in ai/ml and expertise in vector representations and python for a senior ai engineer role.
CAND_0062247,6,0.7498989938982555,A candidate with advanced skills in learning to rank and information retrieval is ideal for a senior ai engineer role.
CAND_0046525,7,0.7394154600346762,A candidate with a strong background in machine learning and advanced skills in information retrieval is ideal for a senior ai engineer role.
CAND_0050454,8,0.7337256294712696,A candidate with a strong background in machine learning and expertise in fine-tuning llms for ai roles is ideal for this senior ai engineer position.
CAND_0098846,9,0.7309972835140687,A candidate with a ph.d in machine learning and experience in ai engineering for a senior role in edtech.
CAND_0019762,10,0.7304889386835155,A candidate with a b.e. in computer science and a 3.3-month tenure in senior software engineering positions is ideal for a role in it services.
CAND_0091909,11,0.7303160891982039,A candidate with a strong background in machine learning and advanced skills in learning to rank is ideal for a senior ai engineer role.
CAND_0058688,12,0.7270771945630524,"A candidate with a 3.1-month ai engineer role in edtech, m.tech in machine learning, and expertise in embeddings and information retrieval is ideal for a senior ai engineer position."
CAND_0002772,13,0.7257016201850885,"A candidate with 5+ years of backend experience, strong fundamentals in software engineering, and self-learner expertise in ai/ml, making them a strong fit for a senior ai engineer role."
CAND_0082973,14,0.7250772293749613,A candidate with a b.sc. in computer engineering and advanced python skills is ideal for a senior ai engineer role.
CAND_0076251,15,0.7237033339354505,A candidate with advanced llm expertise and experience in conversational ai is ideal for a senior ai engineer role.
CAND_0040410,16,0.7202174644266947,"A candidate with 5+ years of backend experience, strong fundamentals in software development, and a self-learner background in ai/ml, making them a good fit for a senior ai engineer role."
CAND_0057563,17,0.717786902334523,"A candidate profile for a senior ai engineer role with experience in nlp and ml, suitable for a 1.7-month and 2.8-month duration."
CAND_0016553,18,0.7171410075707432,A candidate with an m.s. in artificial intelligence and advanced skills in embeddings and fine-tuning llms is ideal for a senior ai engineer role.
CAND_0052335,19,0.7168739845930133,A candidate with experience in ai/ml and a focus on healthcare ai is ideal for this role.
CAND_0037566,20,0.7151205328324999,"A candidate with 5.5 years of backend experience, strong fundamentals in software development, and a self-learner background in ai/ml, ideal for a senior ai engineer role."
CAND_0087630,21,0.7144692957668644,A candidate with experience in ai/ml and advanced skills in learning to rank and embeddings is ideal for a senior ai engineer role.
CAND_0033179,22,0.7127500765929838,A candidate with advanced llm fine-tuning and ml expertise for ai research and senior software engineering roles.
CAND_0068811,23,0.7126911875795212,A candidate with advanced ai/ml skills and experience in embeddings for a senior ai engineer role.
CAND_0099043,24,0.7117600484919435,A candidate with a b.tech in machine learning and skills in embeddings is well-suited for a senior ai engineer role.
CAND_0043676,25,0.7111759260711366,A candidate with a 1.2-month senior software engineer (ml) role and 3.7-month ai specialist in ai/ml is ideal for a senior ai engineer role.
CAND_0066695,26,0.7110110537561365,"A candidate with 5+ years of backend experience, strong fundamentals in software engineering, and a self-learner background in ai/ml, making them a good fit for a senior ai engineer role."
CAND_0046625,27,0.7099606762147902,A candidate with advanced llm fine-tuning experience and a 4-month saas career is ideal for a senior ai engineer role.
CAND_0063925,28,0.7090200927736967,A candidate with a 4.1-month tenure in senior software engineer roles across e-commerce and m.sc. computer science is ideal for a senior ai engineer role.
CAND_0069230,29,0.708755097481621,"A candidate with a b.e. in computer science and m.e. in data science, along with experience in information retrieval, is ideal for a senior software engineer role."
CAND_0003599,30,0.7082685754263431,"A candidate with a b.sc. in computer engineering, experience in ai/ml, and skills in information retrieval and learning to rank is ideal for a senior ai engineer role."
CAND_0043860,31,0.7076222446958771,A candidate with experience in ai/ml and a focus on senior software engineer roles in e-commerce.
CAND_0048910,32,0.7075923740847864,"A candidate with a senior data engineer and senior software engineer role, 3.8 months in each, and advanced python skills is ideal for a senior ai engineer role."
CAND_0018549,33,0.7064999844057646,A candidate with a m.tech in data science and expertise in fine-tuning llms is ideal for a senior ai engineer role.
CAND_0069125,34,0.7060309763253094,A candidate with a b.sc in computer science is well-suited for a senior ai engineer role.
CAND_0041611,35,0.7056136089420809,This candidate has strong skills in fine-tuning llms and is suited for a senior ai engineer role.
CAND_0017960,36,0.7050705631662705,A candidate with strong nlp and ai/ml skills for a senior ai engineer role.
CAND_0076590,37,0.7048169524954561,A candidate with a b.tech in computer engineering and advanced skills in information retrieval and embeddings is ideal for a senior ai engineer role.
CAND_0047599,38,0.7041982270923739,A candidate with a m.tech in data science and an m.sc in machine learning is well-suited for a senior ai engineer role.
CAND_0053537,39,0.7039433710859474,A candidate with a b.tech in machine learning and experience in senior data engineering roles is ideal for a role in it services or fintech.
CAND_0072688,40,0.7038460899986202,"A candidate with a data scientist role in healthtech ai, 2.5 months, is ideal for a senior ai engineer position."
CAND_0021163,41,0.7037974643074183,"A candidate with a b.tech in computer engineering and experience in fintech roles, showing proficiency in learning to rank."
CAND_0081451,42,0.7036748568964235,"A candidate with 5+ years of backend experience, strong fundamentals, and a self-learner background in ai/ml, seeking to deepen software engineering or contribute to ml systems."
CAND_0096032,43,0.7035365817465946,A candidate with a b.tech in computer science is well-suited for a senior ai engineer role.
CAND_0015257,44,0.703351849049684,A candidate with an m.s. in artificial intelligence and advanced skills in embeddings is well-suited for a senior ai engineer role.
CAND_0066758,45,0.7032028491335008,A candidate with advanced skills in information retrieval and llm fine-tuning is ideal for a senior ai engineer role.
CAND_0059145,46,0.7020552013523094,A candidate with a 2.2-month tenure as a senior data engineer in e-commerce is ideal for this role.
CAND_0030556,47,0.701905632676867,A candidate with a ph.d. in machine learning and experience in senior data engineering for a fintech role is ideal for this position.
CAND_0043607,48,0.7015695644671899,A candidate with expertise in fine-tuning llms is ideal for this senior ai engineer role.
CAND_0060054,49,0.7014749591656483,"A candidate with a 2.6-month ai engineer role in ai/ml and a 1.8-month ai engineer role in transportation, indicating strong expertise in ai and ml technologies."
CAND_0076959,50,0.7014265046905022,"A candidate with a 3.2-month tenure in edtech, strong python skills, and a focus on ai for software development."
CAND_0042029,51,0.701090306383898,"A candidate with a b.e. in computer science, experience in machine learning, and advanced skills in embeddings and learning to rank is ideal for a senior ai engineer role."
CAND_0048558,52,0.7008943517137048,"A candidate with a data scientist role in ai/ml, 3 months duration, and a computer vision engineer role, 1.3 months, along with an m.sc in computer science and skills in information retrieval, is a strong fit for the senior ai engineer role."
CAND_0010142,53,0.7008659790768346,"A candidate with 5+ years of backend experience, strong fundamentals in software development, and self-learner expertise in ai/ml, making them a good fit for a senior ai engineer role."
CAND_0058463,54,0.700768205094354,"A candidate with a senior software engineer and data engineer role in saas and food delivery industries, along with an m.s. in computer science, is ideal for a senior ai engineer position."
CAND_0028534,55,0.7005267360657765,A candidate with a b.sc in computer science is well-suited for a senior ai engineer role.
CAND_0023617,56,0.7000065110355839,A candidate with a 2.1-month senior data engineer role in software and e-commerce industries is ideal for a senior ai engineer role.
CAND_0008964,57,0.6995817752019984,A candidate with an m.sc in computer science and advanced skills in information retrieval is ideal for a senior ai engineer role.
CAND_0059224,58,0.6994450030403869,"A candidate with a 2.8-month tenure in a senior software engineer role for a fintech company, m.sc. computer science, and advanced skills in information retrieval."
CAND_0064130,59,0.6993082364364589,"A candidate with a 2.6-month ai research engineer role in edtech, along with a 1.1-month ai specialist in it services, and an m.s. in artificial intelligence, is ideal for a senior ai engineer position."
CAND_0072937,60,0.6992500125712168,"A candidate with a ph.d. in machine learning and a b.tech in machine learning, along with experience in saas and a 2.7-month duration, is ideal for a senior ai engineer role."
CAND_0011132,61,0.6990412808122304,"A candidate with 5+ years of backend experience, strong fundamentals in software engineering, and self-learner expertise in ai/ml, ideal for a senior ai engineer role."
